#t hx hy hz
3.22 0.0000 0.0000 -1.0000
3.23 0.0000 0.0000 -1.0000
3.24 0.0000 0.0000 -1.0000
3.25 0.0000 0.0000 -1.0000
3.26 0.0000 0.0000 -1.0000
3.27 0.0000 0.0000 -1.0000
3.28 0.0000 0.0000 -1.0000
3.29 0.0000 0.0000 -1.0000
3.3 0.0000 0.0000 -1.0000
3.31 0.0000 0.0000 -1.0000
3.32 0.0000 0.0000 -1.0000
3.33 0.0000 0.0000 -1.0000
3.34 0.0000 0.0000 -1.0000
3.35 0.0000 0.0000 -1.0000
3.36 0.0000 0.0000 -1.0000
3.37 0.0000 0.0000 -1.0000
3.38 0.0000 0.0000 -1.0000
3.39 0.0000 0.0000 -1.0000
3.4 0.0000 0.0000 -1.0000
3.41 0.0000 0.0000 -1.0000
3.42 0.0000 0.0000 -1.0000
3.43 0.0000 0.0000 -1.0000
3.44 0.0000 0.0000 -1.0000
3.45 0.0000 0.0000 -1.0000
3.46 0.0000 0.0000 -1.0000
3.47 0.0000 0.0000 -1.0000
3.48 0.0000 0.0000 -1.0000
3.49 0.0000 0.0000 -1.0000
3.5 0.0000 0.0000 -1.0000
3.51 0.0000 0.0000 -1.0000
3.52 0.0000 0.0000 -1.0000
3.53 0.0000 0.0000 -1.0000
3.54 0.0000 0.0000 -1.0000
3.55 0.0000 0.0000 -1.0000
3.56 0.0000 0.0000 -1.0000
3.57 0.0000 0.0000 -1.0000
3.58 0.0000 0.0000 -1.0000
3.59 0.0000 0.0000 -1.0000
3.6 0.0000 0.0000 -1.0000
3.61 0.0000 0.0000 -1.0000
3.62 0.0000 0.0000 -1.0000
3.63 0.0000 0.0000 -1.0000
3.64 0.0000 0.0000 -1.0000
3.65 0.0000 0.0000 -1.0000
3.66 0.0000 0.0000 -1.0000
3.67 0.0000 0.0000 -1.0000
3.68 0.0000 0.0000 -1.0000
3.69 0.0000 0.0000 -1.0000
3.7 0.0000 0.0000 -1.0000
3.71 0.0000 0.0000 -1.0000
3.72 0.0000 0.0000 -1.0000
3.73 0.0000 0.0000 -1.0000
3.74 0.0000 0.0000 -1.0000
3.75 0.0000 0.0000 -1.0000
3.76 0.0000 0.0000 -1.0000
3.77 0.0000 0.0000 -1.0000
3.78 0.0000 0.0000 -1.0000
3.79 0.0000 0.0000 -1.0000
3.8 0.0000 0.0000 -1.0000
3.81 0.0000 0.0000 -1.0000
3.82 0.0000 0.0000 -1.0000
3.83 0.0000 0.0000 -1.0000
3.84 0.0000 0.0000 -1.0000
3.85 0.0000 0.0000 -1.0000
3.86 0.0000 0.0000 -1.0000
3.87 0.0000 0.0000 -1.0000
3.88 0.0000 0.0000 -1.0000
3.89 0.0000 0.0000 -1.0000
3.9 0.0000 0.0000 -1.0000
3.91 0.0000 0.0000 -1.0000
3.92 0.0000 0.0000 -1.0000
3.93 0.0000 0.0000 -1.0000
3.94 0.0000 0.0000 -1.0000
3.95 0.0000 0.0000 -1.0000
3.96 0.0000 0.0000 -1.0000
3.97 0.0000 0.0000 -1.0000
3.98 0.0000 0.0000 -1.0000
3.99 0.0000 0.0000 -1.0000
4.0 0.0000 0.0000 -1.0000
4.01 0.0000 0.0000 -1.0000
4.02 0.0000 0.0000 -1.0000
4.03 0.0000 0.0000 -1.0000
4.04 0.0000 0.0000 -1.0000
4.05 0.0000 0.0000 -1.0000
4.06 0.0000 0.0000 -1.0000
4.07 0.0000 0.0000 -1.0000
4.08 0.0000 0.0000 -1.0000
4.09 0.0000 0.0000 -1.0000
4.1 0.0000 0.0000 -1.0000
4.11 0.0000 0.0000 -1.0000
4.12 0.0000 0.0000 -1.0000
4.13 0.0000 0.0000 -1.0000
4.14 0.0000 0.0000 -1.0000
4.15 0.0000 0.0000 -1.0000
4.16 0.0000 0.0000 -1.0000
4.17 0.0000 0.0000 -1.0000
4.18 0.0000 0.0000 -1.0000
4.19 0.0000 0.0000 -1.0000
4.2 0.0000 0.0000 -1.0000
4.21 0.0000 0.0000 -1.0000
4.22 0.0000 0.0000 -1.0000
4.23 0.0000 0.0000 -1.0000
4.24 0.0000 0.0000 -1.0000
4.25 0.0000 0.0000 -1.0000
4.26 0.0000 0.0000 -1.0000
4.27 0.0000 0.0000 -1.0000
4.28 0.0000 0.0000 -1.0000
4.29 0.0000 0.0000 -1.0000
4.3 0.0000 0.0000 -1.0000
4.31 0.0000 0.0000 -1.0000
4.32 0.0000 0.0000 -1.0000
4.33 0.0000 0.0000 -1.0000
4.34 0.0000 0.0000 -1.0000
4.35 0.0000 0.0000 -1.0000
4.36 0.0000 0.0000 -1.0000
4.37 0.0000 0.0000 -1.0000
4.38 0.0000 0.0000 -1.0000
4.39 0.0000 0.0000 -1.0000
4.4 0.0000 0.0000 -1.0000
4.41 0.0000 0.0000 -1.0000
4.42 0.0000 0.0000 -1.0000
4.43 0.0000 0.0000 -1.0000
4.44 0.0000 0.0000 -1.0000
4.45 0.0000 0.0000 -1.0000
4.46 0.0000 0.0000 -1.0000
4.47 0.0000 0.0000 -1.0000
4.48 0.0000 0.0000 -1.0000
4.49 0.0000 0.0000 -1.0000
4.5 0.0000 0.0000 -1.0000
4.51 0.0000 0.0000 -1.0000
4.52 0.0000 0.0000 -1.0000
4.53 0.0000 0.0000 -1.0000
4.54 0.0000 0.0000 -1.0000
4.55 0.0000 0.0000 -1.0000
4.56 0.0000 0.0000 -1.0000
4.57 0.0000 0.0000 -1.0000
4.58 0.0000 0.0000 -1.0000
4.59 0.0000 0.0000 -1.0000
4.6 0.0000 0.0000 -1.0000
4.61 0.0000 0.0000 -1.0000
4.62 0.0000 0.0000 -1.0000
4.63 0.0000 0.0000 -1.0000
4.64 0.0000 0.0000 -1.0000
4.65 0.0000 0.0000 -1.0000
4.66 0.0000 0.0000 -1.0000
4.67 0.0000 0.0000 -1.0000
4.68 0.0000 0.0000 -1.0000
4.69 0.0000 0.0000 -1.0000
4.7 0.0000 0.0000 -1.0000
4.71 0.0000 0.0000 -1.0000
4.72 0.0000 0.0000 -1.0000
4.73 0.0000 0.0000 -1.0000
4.74 0.0000 0.0000 -1.0000
4.75 0.0000 0.0000 -1.0000
4.76 0.0000 0.0000 -1.0000
4.77 0.0000 0.0000 -1.0000
4.78 0.0000 0.0000 -1.0000
4.79 0.0000 0.0000 -1.0000
4.8 0.0000 0.0000 -1.0000
4.81 0.0000 0.0000 -1.0000
4.82 0.0000 0.0000 -1.0000
4.83 0.0000 0.0000 -1.0000
4.84 0.0000 0.0000 -1.0000
4.85 0.0000 0.0000 -1.0000
4.86 0.0000 0.0000 -1.0000
4.87 0.0000 0.0000 -1.0000
4.88 0.0000 0.0000 -1.0000
4.89 0.0000 0.0000 -1.0000
4.9 0.0000 0.0000 -1.0000
4.91 0.0000 0.0000 -1.0000
4.92 0.0000 0.0000 -1.0000
4.93 0.0000 0.0000 -1.0000
4.94 0.0000 0.0000 -1.0000
4.95 0.0000 0.0000 -1.0000
4.96 0.0000 0.0000 -1.0000
4.97 0.0000 0.0000 -1.0000
4.98 0.0000 0.0000 -1.0000
4.99 0.0000 0.0000 -1.0000
